Age,hhi_norm,entropy_norm,entity,threshold,threshold_label
0,0.19361990777548557,1.7356831082715114,Developer,,All
1,0.18584585635437095,1.825785867230438,Developer,,All
2,0.17819065064770886,1.8631931577160872,Developer,,All
3,0.17721672692079005,1.8663286439858076,Developer,,All
4,0.17430037709557314,1.8906810054125418,Developer,,All
5,0.1691836742478438,1.9146341605189396,Developer,,All
6,0.16814801542242963,1.9288330893124648,Developer,,All
7,0.16546170212004618,1.9573967260306058,Developer,,All
8,0.16727132884537596,1.9428776234436833,Developer,,All
9,0.16596060961158876,1.94762688430251,Developer,,All
10,0.1648852998056593,1.9585771002984984,Developer,,All
11,0.1691927608561746,1.9353415775722793,Developer,,All
12,0.164826357633335,1.9702957916767219,Developer,,All
13,0.17408838494479673,1.9343328598645173,Developer,,All
14,0.17237938036238007,1.919824546407179,Developer,,All
15,0.16855540669417282,1.9343115230780794,Developer,,All
16,0.16220256550636342,1.9799658297675882,Developer,,All
17,0.1704945881906053,1.9274700666857847,Developer,,All
18,0.16977214593578688,1.9303427728646714,Developer,,All
19,0.1826816945240756,1.905786668633015,Developer,,All
20,0.1607260113654516,1.971710136203151,Developer,,All
21,0.15687430023187723,1.9920756262492887,Developer,,All
22,0.15878294879427451,2.008042737491548,Developer,,All
23,0.1786330057139379,1.9695101480493722,Developer,,All
24,0.1626274590871818,1.987551775165287,Developer,,All
25,0.16391097023456133,2.0407704717316935,Developer,,All
26,0.15012415160307854,2.0624542302940814,Developer,,All
27,0.1663081755412203,2.045917095114506,Developer,,All
28,0.14941551515749044,2.0873668767255795,Developer,,All
29,0.1374250296864585,2.144618485723005,Developer,,All
30,0.18982391653694716,1.9805270864582378,Developer,,All
0,0.1860110843437737,1.7895921326011337,Developer,2.0,>= 2 games
1,0.18584585635437095,1.825785867230438,Developer,2.0,>= 2 games
2,0.17819065064770886,1.8631931577160872,Developer,2.0,>= 2 games
3,0.17721672692079005,1.8663286439858076,Developer,2.0,>= 2 games
4,0.17430037709557314,1.8906810054125418,Developer,2.0,>= 2 games
5,0.1691836742478438,1.9146341605189396,Developer,2.0,>= 2 games
6,0.16814801542242963,1.9288330893124648,Developer,2.0,>= 2 games
7,0.16546170212004618,1.9573967260306058,Developer,2.0,>= 2 games
8,0.16727132884537596,1.9428776234436833,Developer,2.0,>= 2 games
9,0.16596060961158876,1.94762688430251,Developer,2.0,>= 2 games
10,0.1648852998056593,1.9585771002984984,Developer,2.0,>= 2 games
11,0.1691927608561746,1.9353415775722793,Developer,2.0,>= 2 games
12,0.164826357633335,1.9702957916767219,Developer,2.0,>= 2 games
13,0.17408838494479673,1.9343328598645173,Developer,2.0,>= 2 games
14,0.17237938036238007,1.919824546407179,Developer,2.0,>= 2 games
15,0.16855540669417282,1.9343115230780794,Developer,2.0,>= 2 games
16,0.16220256550636342,1.9799658297675882,Developer,2.0,>= 2 games
17,0.1704945881906053,1.9274700666857847,Developer,2.0,>= 2 games
18,0.16977214593578688,1.9303427728646714,Developer,2.0,>= 2 games
19,0.1826816945240756,1.905786668633015,Developer,2.0,>= 2 games
20,0.1607260113654516,1.971710136203151,Developer,2.0,>= 2 games
21,0.15687430023187723,1.9920756262492887,Developer,2.0,>= 2 games
22,0.15878294879427451,2.008042737491548,Developer,2.0,>= 2 games
23,0.1786330057139379,1.9695101480493722,Developer,2.0,>= 2 games
